statecode,year,name,value
Kentucky,2015,William,334
Louisiana,2005,Joshua,324
Louisiana,2006,Ethan,321
Louisiana,2007,Joshua,301
Louisiana,2008,Ethan,301
Louisiana,2009,Jayden,298
Louisiana,2010,Jayden,312
Louisiana,2011,Mason,310
Louisiana,2012,Mason,312
Louisiana,2013,Mason,293
Louisiana,2014,Mason,296
Louisiana,2015,Noah,294
Massachusetts,2005,Matthew,696
Massachusetts,2006,Matthew,593
Massachusetts,2007,Matthew,565
Massachusetts,2008,Ryan,543
Massachusetts,2009,Ryan,487
Massachusetts,2010,Ryan,449
Massachusetts,2011,William,469
Massachusetts,2012,Benjamin,444
Massachusetts,2013,Benjamin,501
Massachusetts,2014,Benjamin,457
Massachusetts,2015,Benjamin,454
Maryland,2005,Joshua,462
Maryland,2006,Joshua,471
Maryland,2007,Michael,467
Maryland,2008,Michael,393
Maryland,2009,Michael,391
Maryland,2010,Jacob,388
Maryland,2011,Mason,432
Maryland,2012,Mason,363
Maryland,2013,Liam,321
Maryland,2014,Noah,322
Maryland,2015,Noah,386
Maine,2005,Jacob,126
Maine,2006,Jacob,127
Maine,2007,Ethan,109
Maine,2008,Jacob,111
Maine,2009,Noah,98
Maine,2010,Owen,85
Maine,2011,Mason,94
Maine,2012,Mason,101
Maine,2013,Liam,94
Maine,2014,Liam,103
Maine,2015,Liam,78
Michigan,2005,Jacob,960
Michigan,2006,Jacob,864
Michigan,2007,Jacob,821
Michigan,2008,Jacob,770
Michigan,2009,Jacob,714
Michigan,2010,Jacob,675
Michigan,2011,Mason,687
Michigan,2012,Mason,659
Michigan,2013,Liam,599
Michigan,2014,Liam,579
Michigan,2015,Noah,530
Minnesota,2005,Ethan,494
Minnesota,2006,Ethan,463
Minnesota,2007,Jacob,461
Minnesota,2008,Ethan,408
Minnesota,2009,Logan,390
Minnesota,2010,Mason,406
Minnesota,2011,Mason,446
Minnesota,2012,Mason,363
Minnesota,2013,William,353
Minnesota,2014,Henry,352
Minnesota,2015,Henry,392
Missouri,2005,Jacob,545
Missouri,2006,Jacob,555
Missouri,2007,Jacob,544
Missouri,2008,Jacob,482
Missouri,2009,Jacob,397
Missouri,2010,Jacob,419
Missouri,2011,Mason,482
Missouri,2012,Mason,439
Missouri,2013,William,436
Missouri,2014,Liam,412
Missouri,2015,Liam,380
Mississippi,2005,William,336
Mississippi,2006,William,311
Mississippi,2007,William,303
Mississippi,2008,William,288
Mississippi,2009,William,252
Mississippi,2010,William,218
Mississippi,2011,William,291
Mississippi,2012,William,225
Mississippi,2013,William,241
Mississippi,2014,William,226
Mississippi,2015,William,212
Montana,2005,Jacob,85
Montana,2006,Jacob,68
Montana,2007,Ethan,68
Montana,2008,Ethan,66
Montana,2009,Ethan,60
Montana,2010,Wyatt,60
Montana,2011,Mason,74
Montana,2012,Liam,67
Montana,2013,Liam,80
Montana,2014,William,60
Montana,2015,William,63
North Carolina,2005,William,924
North Carolina,2006,William,890
North Carolina,2007,William,896
North Carolina,2008,William,888
North Carolina,2009,William,793
North Carolina,2010,William,821
North Carolina,2011,William,765
North Carolina,2012,William,710
North Carolina,2013,William,704
North Carolina,2014,William,730
North Carolina,2015,William,702
North Dakota,2005,Ethan,80
North Dakota,2006,Logan,73
North Dakota,2007,Logan,66
North Dakota,2008,Carter,62
North Dakota,2009,Ethan,60
North Dakota,2010,Mason,64
North Dakota,2011,Mason,71
North Dakota,2012,Liam,60
North Dakota,2013,Mason,66
North Dakota,2014,Liam,68
North Dakota,2015,Liam,63
Nebraska,2005,Jacob,169
Nebraska,2006,Jacob,150
Nebraska,2007,Jacob,158
Nebraska,2008,Jacob,145
Nebraska,2009,Alexander,142
Nebraska,2010,Jacob,130
Nebraska,2011,Mason,131
Nebraska,2012,Liam,153
Nebraska,2013,Mason,132
