name,value,year,lastValue,rank
Dylan,13772,2005,13772,24
Elijah,13763,2014,13743,11
Benjamin,13761,2014,13460,12
Benjamin,13751,2006,13564,24
Elijah,13743,2013,13833,11
Joshua,13739,2011,15425,14
Samuel,13625,2006,14246,25
Logan,13615,2014,12336,13
Benjamin,13608,2015,13761,10
Aiden,13591,2013,14873,12
Nathan,13584,2007,14270,24
Benjamin,13564,2005,13564,25
James,13527,2013,13393,13
Elijah,13511,2015,13763,11
Logan,13463,2005,13463,26
Benjamin,13460,2013,12807,14
Liam,13431,2011,10924,15
Daniel,13408,2015,13887,12
James,13393,2012,13236,14
Aiden,13378,2015,13365,13
Aiden,13365,2014,13591,14
Samuel,13346,2007,13625,25
John,13310,2008,14424,20
Matthew,13304,2013,13952,15
Benjamin,13268,2007,13751,26
Andrew,13262,2011,14227,16
Nathan,13250,2008,13584,21
James,13236,2011,13861,17
Elijah,13217,2008,12398,22
David,13208,2011,14176,18
Anthony,13173,2012,14250,15
Dylan,13161,2006,13772,26
Benjamin,13107,2009,12940,19
Ryan,13103,2009,14675,20
Aiden,13098,2007,13098,27
Benjamin,13051,2011,12421,19
Christian,13049,2008,14047,23
Gabriel,13019,2008,12898,24
Christopher,12983,2011,14259,20
Logan,12971,2011,14014,21
Brandon,12941,2005,12941,27
Benjamin,12940,2008,13268,25
Joseph,12936,2011,13806,22
Jayden,12923,2014,14729,15
Gabriel,12898,2007,12530,28
Jonathan,12879,2008,13785,26
Matthew,12866,2014,13304,16
Logan,12862,2015,13615,14
Gabriel,12859,2010,12805,21
Elijah,12808,2009,13217,21
Benjamin,12807,2012,13051,16
Dylan,12806,2007,13161,29
Gabriel,12805,2009,13019,22
Gabriel,12750,2005,12750,28
Samuel,12745,2008,13346,27
Tyler,12690,2008,14081,28
Brandon,12673,2006,12941,27
Matthew,12648,2015,12866,15
Joshua,12632,2012,13739,17
Christian,12630,2009,13049,23
Andrew,12599,2012,13262,18
Jackson,12568,2013,12468,16
Gabriel,12530,2006,12750,28
Joseph,12524,2012,12936,19
Nicholas,12512,2008,14352,29
David,12507,2012,13208,20
Jackson,12468,2012,12388,21
Logan,12455,2012,12971,22
Benjamin,12421,2010,13107,22
Elijah,12398,2007,12038,30
Jackson,12388,2011,11812,23
Logan,12336,2013,12455,17
David,12334,2013,12507,18
Gabriel,12324,2011,12859,24
Zachary,12280,2005,12280,29
Lucas,12246,2015,12132,16
Anthony,12234,2013,13173,19
Joseph,12195,2013,12524,20
Jackson,12183,2014,12568,17
Jackson,12182,2015,12183,17
David,12159,2014,12334,18
Samuel,12136,2009,12745,24
Lucas,12132,2014,11525,19
Nathan,12113,2009,13250,25
Jackson,12111,2009,12111,26
John,12103,2009,13310,27
Joseph,12080,2014,12195,20
Jose,12043,2005,12043,30
Elijah,12038,2006,12038,29
Ryan,11964,2010,13103,23
Samuel,11948,2010,12136,24
Christopher,11873,2012,12983,23
Jackson,11812,2010,12111,25
Joshua,11784,2013,12632,21
Gavin,11742,2008,11742,30
David,11691,2015,12159,18
Andrew,11638,2013,12599,22
Oliver,11592,2015,11592,19
Jose,11581,2006,12043,30
John,11543,2010,12103,26
Anthony,11538,2014,12234,21
Gabriel,11538,2012,12324,24
Tyler,11534,2009,12690,28
Lucas,11525,2013,10692,23
Ryan,11487,2011,11964,25
Jayden,11475,2015,12923,20
Samuel,11433,2012,11334,25
Joseph,11375,2015,12080,21
Nathan,11367,2010,12113,27
Jonathan,11366,2009,12879,29
Dylan,11350,2009,12806,30
Samuel,11334,2011,11948,26
Gabriel,11202,2013,11538,24
Andrew,11124,2014,11638,22
Jonathan,11113,2010,11366,28
Samuel,11088,2013,11433,25
Christian,11084,2010,12630,29
John,11027,2011,11543,27
Samuel,10948,2014,11088,23
Ryan,10931,2012,11487,26
Liam,10924,2010,10924,30
Gabriel,10881,2014,11202,24
Joshua,10843,2014,11784,25
Christopher,10829,2013,11873,26
Gabriel,10782,2015,10881,22
Samuel,10733,2015,10948,23
Carter,10727,2015,10647,24
Lucas,10692,2012,10391,27
John,10687,2013,10607,27
John,10659,2014,10687,26
Carter,10647,2014,10647,27
John,10607,2012,11027,28
Anthony,10564,2015,11538,25
Nathan,10496,2011,11367,28
Luke,10480,2014,10480,28
Nathan,10406,2012,10496,29
Dylan,10394,2014,10097,29
Lucas,10391,2011,10391,29
Christopher,10322,2014,10829,30
John,10303,2015,10659,26
Christian,10300,2011,11084,30
Dylan,10232,2015,10394,27
Luke,10219,2015,10480,28
Henry,10112,2015,10112,29
Dylan,10097,2013,11350,28
Isaac,10090,2013,10032,29
Isaac,10032,2012,10032,30
Andrew,10027,2015,11124,30
Ryan,9859,2013,10931,30
